Time(s),edges,TrueAngle,TrueVelocity
0.000004,0,0.000000,0.096633
0.000008,0,0.000001,0.193249
0.000012,0,0.000002,0.289848
0.000016,1,0.000003,0.386430
0.000020,0,0.000005,0.482996
0.000024,0,0.000007,0.579545
0.000028,0,0.000009,0.676077
0.000032,0,0.000012,0.772593
0.000036,0,0.000016,0.869092
0.000040,0,0.000019,0.965574
0.000044,0,0.000023,1.062039
0.000048,0,0.000028,1.158488
0.000052,0,0.000033,1.254920
0.000056,0,0.000038,1.351335
0.000060,0,0.000044,1.447734
0.000064,0,0.000050,1.544116
0.000068,1,0.000056,1.640481
0.000072,0,0.000063,1.736829
0.000076,0,0.000070,1.833161
0.000080,0,0.000077,1.929476
0.000084,1,0.000085,2.025774
0.000088,0,0.000094,2.122056
0.000092,0,0.000102,2.218321
0.000096,0,0.000111,2.314569
0.000100,0,0.000121,2.410800
0.000104,0,0.000131,2.507015
0.000108,0,0.000141,2.603213
0.000112,0,0.000152,2.699395
0.000116,0,0.000163,2.795560
0.000120,0,0.000174,2.891708
0.000124,0,0.000186,2.987839
0.000128,1,0.000198,3.083954
0.000132,0,0.000211,3.180052
0.000136,0,0.000224,3.276133
0.000140,0,0.000237,3.372198
0.000144,0,0.000251,3.468245
0.000148,0,0.000265,3.564277
0.000152,0,0.000279,3.660291
0.000156,0,0.000294,3.756289
0.000160,1,0.000309,3.852270
0.000164,0,0.000325,3.948235
0.000168,1,0.000341,4.044183
0.000172,0,0.000357,4.140114
0.000176,0,0.000374,4.236029
0.000180,0,0.000391,4.331927
0.000184,0,0.000409,4.427808
0.000188,0,0.000427,4.523672
0.000192,0,0.000445,4.619520
0.000196,0,0.000464,4.715351
0.000200,0,0.000483,4.811166
0.000205,0,0.000503,4.906964
0.000209,0,0.000522,5.002745
0.000213,0,0.000543,5.098510
0.000217,0,0.000563,5.194258
0.000221,1,0.000584,5.289989
0.000225,0,0.000606,5.385704
0.000229,1,0.000627,5.481402
0.000233,0,0.000650,5.577083
0.000237,0,0.000672,5.672748
0.000241,0,0.000695,5.768396
0.000245,0,0.000718,5.864027
0.000249,0,0.000742,5.959642
0.000253,0,0.000766,6.055240
0.000257,0,0.000791,6.150821
0.000261,0,0.000816,6.246386
0.000265,0,0.000841,6.341934
0.000269,0,0.000866,6.437466
0.000273,0,0.000892,6.532981
0.000277,0,0.000919,6.628479
0.000281,0,0.000946,6.723961
0.000285,0,0.000973,6.819426
0.000289,0,0.001000,6.914874
0.000293,0,0.001028,7.010306
0.000297,0,0.001057,7.105721
0.000301,0,0.001085,7.201120
0.000305,0,0.001114,7.296502
0.000309,0,0.001144,7.391867
0.000313,0,0.001174,7.487216
0.000317,0,0.001204,7.582548
0.000321,0,0.001234,7.677863
0.000325,0,0.001265,7.773162
0.000329,0,0.001297,7.868444
0.000333,0,0.001328,7.963710
0.000337,0,0.001361,8.058959
0.000341,0,0.001393,8.154191
0.000345,0,0.001426,8.249407
0.000349,0,0.001459,8.344606
0.000353,0,0.001493,8.439789
0.000357,0,0.001527,8.534955
0.000361,1,0.001561,8.630104
0.000365,0,0.001596,8.725237
0.000369,0,0.001631,8.820353
0.000373,0,0.001667,8.915453
0.000377,0,0.001703,9.010536
0.000381,0,0.001739,9.105602
0.000385,0,0.001776,9.200652
0.000389,0,0.001813,9.295685
0.000393,1,0.001850,9.390702
0.000397,0,0.001888,9.485702
0.000401,0,0.001926,9.580685
0.000405,0,0.001965,9.675652
0.000409,0,0.002004,9.770602
0.000413,1,0.002043,9.865536
0.000417,0,0.002083,9.960453
0.000421,0,0.002123,10.055354
0.000425,0,0.002164,10.150238
0.000429,0,0.002205,10.245105
0.000433,0,0.002246,10.339956
0.000437,1,0.002288,10.434790
0.000441,0,0.002330,10.529608
0.000445,0,0.002372,10.624409
0.000449,0,0.002415,10.719193
0.000453,0,0.002458,10.813961
0.000457,0,0.002502,10.908713
0.000461,0,0.002546,11.003448
0.000465,1,0.002590,11.098166
0.000469,0,0.002635,11.192868
0.000473,0,0.002680,11.287553
0.000477,0,0.002725,11.382221
0.000481,0,0.002771,11.476873
0.000485,0,0.002817,11.571509
0.000489,0,0.002864,11.666128
0.000493,0,0.002911,11.760730
0.000497,0,0.002958,11.855316
0.000501,0,0.003006,11.949885
0.000505,0,0.003054,12.044438
0.000509,1,0.003102,12.138974
0.000513,0,0.003151,12.233494
0.000517,0,0.003201,12.327997
0.000521,0,0.003250,12.422483
0.000525,0,0.003300,12.516953
0.000529,0,0.003351,12.611407
0.000533,1,0.003401,12.705844
0.000537,0,0.003452,12.800264
0.000541,0,0.003504,12.894668
0.000545,0,0.003556,12.989055
0.000549,0,0.003608,13.083426
0.000553,0,0.003661,13.177780
0.000557,0,0.003714,13.272118
0.000561,0,0.003767,13.366439
0.000565,0,0.003821,13.460744
0.000569,0,0.003875,13.555032
0.000573,0,0.003930,13.649304
0.000577,0,0.003985,13.743559
0.000581,0,0.004040,13.837798
0.000585,0,0.004096,13.932020
0.000589,1,0.004152,14.026225
0.000593,0,0.004208,14.120414
0.000597,0,0.004265,14.214587
0.000602,0,0.004322,14.308743
0.000606,0,0.004380,14.402882
0.000610,0,0.004438,14.497005
0.000614,0,0.004496,14.591112
0.000618,0,0.004555,14.685202
0.000622,1,0.004614,14.779275
0.000626,1,0.004673,14.873332
0.000630,0,0.004733,14.967373
0.000634,0,0.004793,15.061397
0.000638,0,0.004854,15.155404
0.000642,0,0.004915,15.249395
0.000646,0,0.004976,15.343370
0.000650,0,0.005038,15.437328
0.000654,0,0.005100,15.531269
0.000658,1,0.005162,15.625194
0.000662,0,0.005225,15.719103
0.000666,0,0.005288,15.812995
0.000670,0,0.005352,15.906870
0.000674,0,0.005416,16.000729
0.000678,0,0.005480,16.094572
0.000682,0,0.005545,16.188398
0.000686,0,0.005610,16.282208
0.000690,0,0.005676,16.376001
0.000694,0,0.005742,16.469777
0.000698,0,0.005808,16.563538
0.000702,0,0.005874,16.657281
0.000706,0,0.005941,16.751009
0.000710,1,0.006009,16.844719
0.000714,0,0.006076,16.938414
0.000718,1,0.006145,17.032091
0.000722,0,0.006213,17.125753
0.000726,0,0.006282,17.219398
0.000730,1,0.006351,17.313026
0.000734,0,0.006421,17.406638
0.000738,1,0.006491,17.500233
0.000742,0,0.006561,17.593812
0.000746,0,0.006632,17.687375
0.000750,0,0.006703,17.780921
0.000754,0,0.006774,17.874451
0.000758,0,0.006846,17.967964
0.000762,0,0.006919,18.061461
0.000766,0,0.006991,18.154941
0.000770,0,0.007064,18.248405
0.000774,0,0.007138,18.341852
0.000778,0,0.007211,18.435283
0.000782,0,0.007285,18.528698
0.000786,0,0.007360,18.622096
0.000790,1,0.007435,18.715477
0.000794,0,0.007510,18.808843
0.000798,0,0.007586,18.902191
0.000802,0,0.007662,18.995524
0.000806,1,0.007738,19.088840
0.000810,0,0.007815,19.182139
0.000814,0,0.007892,19.275422
0.000818,0,0.007969,19.368689
0.000822,0,0.008047,19.461939
0.000826,0,0.008125,19.555172
0.000830,0,0.008204,19.648390
0.000834,0,0.008283,19.741591
0.000838,0,0.008362,19.834775
0.000842,0,0.008442,19.927943
0.000846,0,0.008522,20.021095
0.000850,1,0.008603,20.114230
0.000854,0,0.008683,20.207348
0.000858,0,0.008765,20.300451
0.000862,0,0.008846,20.393537
0.000866,0,0.008928,20.486606
0.000870,0,0.009010,20.579659
0.000874,0,0.009093,20.672696
0.000878,1,0.009176,20.765716
0.000882,1,0.009260,20.858720
0.000886,0,0.009344,20.951707
0.000890,0,0.009428,21.044678
0.000894,0,0.009512,21.137633
0.000898,0,0.009597,21.230571
0.000902,1,0.009683,21.323493
0.000906,0,0.009768,21.416399
0.000910,1,0.009854,21.509288
0.000914,0,0.009941,21.602160
0.000918,0,0.010028,21.695016
0.000922,1,0.010115,21.787856
0.000926,0,0.010202,21.880680
0.000930,0,0.010290,21.973487
0.000934,0,0.010379,22.066278
0.000938,0,0.010467,22.159052
0.000942,0,0.010556,22.251810
0.000946,0,0.010646,22.344551
0.000950,0,0.010736,22.437276
0.000954,2,0.010826,22.529985
0.000958,0,0.010916,22.622677
0.000962,0,0.011007,22.715353
0.000966,0,0.011098,22.808013
0.000970,0,0.011190,22.900656
0.000974,1,0.011282,22.993283
0.000978,1,0.011374,23.085894
0.000982,0,0.011467,23.178488
0.000986,1,0.011560,23.271065
0.000990,0,0.011654,23.363627
0.000994,0,0.011748,23.456172
0.000998,0,0.011842,23.548700
0.001003,0,0.011937,23.641213
0.001007,0,0.012032,23.733709
0.001011,0,0.012127,23.826188
0.001015,0,0.012223,23.918651
0.001019,1,0.012319,24.011098
0.001023,0,0.012415,24.103529
0.001027,0,0.012512,24.195943
0.001031,0,0.012609,24.288341
0.001035,0,0.012707,24.380722
0.001039,0,0.012805,24.473087
0.001043,0,0.012903,24.565436
0.001047,0,0.013002,24.657768
0.001051,0,0.013101,24.750084
0.001055,0,0.013200,24.842384
0.001059,0,0.013300,24.934667
0.001063,0,0.013400,25.026934
0.001067,0,0.013501,25.119185
0.001071,0,0.013602,25.211419
0.001075,0,0.013703,25.303637
0.001079,0,0.013805,25.395839
0.001083,1,0.013907,25.488024
0.001087,0,0.014009,25.580193
0.001091,0,0.014112,25.672346
0.001095,1,0.014215,25.764482
0.001099,0,0.014318,25.856602
0.001103,0,0.014422,25.948706
0.001107,0,0.014527,26.040793
0.001111,0,0.014631,26.132864
0.001115,0,0.014736,26.224919
0.001119,0,0.014842,26.316957
0.001123,0,0.014947,26.408979
0.001127,0,0.015053,26.500985
0.001131,1,0.015160,26.592974
0.001135,0,0.015267,26.684947
0.001139,1,0.015374,26.776904
0.001143,0,0.015481,26.868844
0.001147,1,0.015589,26.960769
0.001151,0,0.015698,27.052676
0.001155,0,0.015806,27.144568
0.001159,0,0.015915,27.236443
0.001163,0,0.016025,27.328302
0.001167,0,0.016134,27.420145
0.001171,0,0.016245,27.511971
0.001175,0,0.016355,27.603781
0.001179,0,0.016466,27.695575
0.001183,0,0.016577,27.787352
0.001187,0,0.016689,27.879113
0.001191,0,0.016801,27.970858
0.001195,1,0.016913,28.062587
0.001199,0,0.017026,28.154299
0.001203,0,0.017139,28.245995
0.001207,0,0.017252,28.337675
0.001211,0,0.017366,28.429338
0.001215,0,0.017480,28.520985
0.001219,0,0.017595,28.612616
0.001223,1,0.017710,28.704230
0.001227,0,0.017825,28.795829
0.001231,1,0.017941,28.887410
0.001235,0,0.018057,28.978976
0.001239,0,0.018173,29.070526
0.001243,0,0.018290,29.162059
0.001247,0,0.018407,29.253576
0.001251,1,0.018525,29.345076
0.001255,0,0.018642,29.436560
0.001259,0,0.018761,29.528028
0.001263,0,0.018879,29.619480
0.001267,0,0.018998,29.710916
0.001271,0,0.019118,29.802335
0.001275,1,0.019237,29.893738
0.001279,0,0.019357,29.985125
0.001283,0,0.019478,30.076495
0.001287,0,0.019598,30.167849
0.001291,0,0.019720,30.259187
0.001295,0,0.019841,30.350509
0.001299,1,0.019963,30.441814
0.001303,0,0.020085,30.533103
0.001307,0,0.020208,30.624376
0.001311,0,0.020331,30.715633
